"","sexo","region","edad","yoprcor","s31a1","zona","e6a","o15","yoprcoripc"
"354",2,7,56,220000,7,1,9,5,289276.342486135
"355",2,7,61,135000,2,1,7,5,177510.48288922
"356",1,7,65,1200000,7,1,11,1,1577870.95901528
"357",2,7,62,2e+06,2,1,11,1,2629784.93169214
"358",1,7,28,350000,7,1,13,4,460212.363046125
"359",1,7,54,4e+05,7,1,13,5,525956.986338428
"360",2,7,46,430000,7,1,9,5,565403.76031381
"361",1,7,23,3e+05,7,1,11,2,394467.739753821
"362",1,7,30,895000,7,1,13,4,1176828.75693223
"363",2,7,34,350000,7,1,11,3,460212.363046125
"364",1,7,60,270000,7,1,9,5,355020.965778439
"365",1,7,35,550000,7,1,14,5,723190.856215339
"366",2,7,33,270000,7,1,11,5,355020.965778439
"367",1,7,61,6e+05,7,1,11,5,788935.479507642
"368",2,7,25,270000,7,1,12,5,355020.965778439
"369",1,7,58,270000,7,1,7,5,355020.965778439
"370",1,7,64,450000,7,1,9,5,591701.609630732
"371",2,7,57,1e+05,7,1,9,2,131489.246584607
"372",2,7,28,6e+05,7,1,15,5,788935.479507642
"373",2,7,52,3e+05,7,1,12,5,394467.739753821
"374",1,7,31,3e+05,7,1,9,5,394467.739753821
"375",1,7,47,350000,7,1,11,5,460212.363046125
"376",1,7,21,270000,7,1,14,5,355020.965778439
"377",2,7,28,650000,7,1,9,5,854680.102799946
"378",2,7,50,3e+05,7,1,15,5,394467.739753821
"379",1,7,39,7e+05,7,1,15,5,920424.726092249
"380",2,7,49,250000,7,1,9,2,328723.116461518
"381",1,7,59,6e+05,7,1,7,1,788935.479507642
"382",2,7,58,2e+05,2,1,7,2,262978.493169214
"383",2,7,32,550000,7,1,13,1,723190.856215339
"384",2,7,27,150000,7,1,11,5,197233.869876911
"385",1,7,55,2e+06,7,1,9,5,2629784.93169214
"386",1,7,22,340000,7,1,9,5,447063.438387664
"387",1,7,49,350000,7,1,7,5,460212.363046125
"388",1,7,22,350000,7,1,11,5,460212.363046125
"389",2,7,49,350000,7,1,9,5,460212.363046125
"390",1,7,26,220000,7,1,13,5,289276.342486135
"391",1,7,65,1e+06,7,1,15,2,1314892.46584607
"392",2,7,58,8e+05,7,1,9,2,1051913.97267686
"393",1,7,28,4e+05,4,1,14,5,525956.986338428
"394",1,7,51,4e+05,7,1,14,5,525956.986338428
"395",2,7,33,3e+05,7,1,15,5,394467.739753821
"396",2,7,28,1500000,7,1,15,3,1972338.69876911
"397",2,7,24,4e+05,7,1,15,5,525956.986338428
"398",1,7,70,6e+06,7,1,15,4,7889354.79507642
"399",2,7,47,7e+05,7,1,13,3,920424.726092249
"400",1,7,38,250000,4,1,9,3,328723.116461518
"401",1,7,24,2e+05,7,1,14,5,262978.493169214
"402",1,7,24,2e+05,7,1,14,5,262978.493169214
"403",1,7,18,270000,7,1,14,5,355020.965778439
"404",2,7,49,278000,7,1,9,5,365540.105505208
"405",2,7,25,160000,7,1,14,5,210382.794535371
"406",2,7,20,278000,7,1,14,5,365540.105505208
"407",1,7,60,3e+05,7,1,9,5,394467.739753821
"408",1,7,63,2e+05,7,1,9,2,262978.493169214
"409",1,7,20,2e+05,7,1,9,5,262978.493169214
"410",1,7,62,310000,1,1,8,5,407616.664412282
"411",1,7,62,270000,7,1,11,5,355020.965778439
"412",1,7,37,327045,7,1,11,5,430029.006492628
"413",1,7,48,5e+05,7,1,15,5,657446.232923035
"414",1,7,29,3e+05,7,1,15,2,394467.739753821
"415",1,7,25,950000,7,1,15,5,1249147.84255377
"416",2,7,47,3e+05,7,1,9,5,394467.739753821
"417",1,7,65,8e+05,7,1,14,3,1051913.97267686
"418",2,7,29,4e+05,7,1,9,5,525956.986338428
"419",1,7,37,270000,7,1,14,5,355020.965778439
"420",1,7,26,550000,7,1,15,3,723190.856215339
"421",1,7,30,5e+05,7,1,13,2,657446.232923035
"422",1,7,70,3520379,7,1,15,5,4628919.82402272
"423",2,7,70,696000,7,1,15,4,915165.156228865
"424",1,7,56,4900000,7,1,15,3,6442973.08264575
"425",2,7,58,4700000,7,1,15,3,6179994.58947653
"426",2,7,65,290000,7,1,6,6,381318.81509536
"427",1,7,58,450000,7,1,7,2,591701.609630732
"428",2,7,25,4e+05,7,1,13,3,525956.986338428
"429",2,7,58,247632,7,1,9,5,325609.451102394
"430",2,7,29,450000,7,1,9,5,591701.609630732
"431",2,7,56,320000,7,1,9,5,420765.589070742
"432",2,7,53,270000,7,1,9,5,355020.965778439
"433",1,7,35,450000,7,1,14,5,591701.609630732
"434",1,7,64,3e+05,7,1,7,5,394467.739753821
"435",1,7,41,270000,7,1,7,5,355020.965778439
"436",1,7,60,370000,1,1,7,5,486510.212363046
"437",2,7,52,3e+05,7,1,7,2,394467.739753821
"438",2,7,63,270000,7,1,8,7,355020.965778439
"439",1,7,43,270000,7,1,14,5,355020.965778439
"440",2,7,42,270000,7,1,9,5,355020.965778439
"441",1,7,20,270000,7,1,9,5,355020.965778439
"442",1,7,62,50000,7,1,11,2,65744.6232923035
"443",2,7,26,250000,7,1,13,5,328723.116461518
"444",1,7,65,240000,1,1,7,4,315574.191803057
"445",1,7,45,220000,7,1,9,2,289276.342486135
"446",2,7,50,381237.006102589,7,1,9,9,501285.667026007
"447",1,7,47,350000,7,1,9,5,460212.363046125
"448",1,7,57,250000,7,1,7,2,328723.116461518
"449",1,7,34,350000,7,1,9,5,460212.363046125
"450",2,7,29,270000,7,1,9,4,355020.965778439
"451",1,7,48,9e+05,7,1,14,5,1183403.21926146
"452",1,7,63,510000,4,1,14,5,670595.157581496
"453",1,7,32,7e+05,7,1,15,3,920424.726092249
"454",2,7,52,8e+05,7,1,13,5,1051913.97267686
"455",1,7,63,2e+05,7,1,11,2,262978.493169214
"456",1,7,27,2e+05,7,1,11,2,262978.493169214
"457",2,7,21,381237.006102589,7,1,14,5,501285.667026007
"458",1,7,52,1e+06,7,1,15,3,1314892.46584607
"459",1,7,55,610000,7,1,9,2,802084.404166103
"460",1,7,52,5e+05,7,1,11,5,657446.232923035
"461",2,7,51,3e+05,7,1,11,7,394467.739753821
"462",1,7,57,4e+05,6,1,9,1,525956.986338428
"463",2,7,27,5e+05,7,1,14,1,657446.232923035
"464",1,7,37,5e+05,7,1,9,5,657446.232923035
"465",2,7,35,120000,7,1,14,5,157787.095901528
"466",2,7,48,350000,1,1,9,3,460212.363046125
"467",1,7,27,4e+05,7,1,9,5,525956.986338428
"468",2,7,23,360000,7,1,13,5,473361.287704585
"469",2,7,26,7e+05,7,1,15,5,920424.726092249
"470",2,7,26,650000,7,1,15,5,854680.102799946
"471",1,7,52,150000,6,1,13,2,197233.869876911
"472",1,7,24,250000,7,1,15,1,328723.116461518
"473",2,7,22,276000,7,1,13,5,362910.320573515
"474",1,7,32,270000,7,1,14,2,355020.965778439
"475",2,7,50,4e+05,1,1,9,5,525956.986338428
"476",1,7,26,1e+06,7,1,15,2,1314892.46584607
"477",2,7,57,6e+05,7,1,17,5,788935.479507642
"478",2,7,27,1300000,7,1,15,3,1709360.20559989
"479",1,7,29,1e+05,7,1,14,2,131489.246584607
"480",1,7,50,4e+05,7,1,11,2,525956.986338428
"481",2,7,46,1e+06,7,1,15,3,1314892.46584607
"482",1,7,56,8e+05,7,1,9,5,1051913.97267686
"483",2,7,60,3e+05,1,1,15,2,394467.739753821
"484",2,7,42,6e+05,7,1,13,3,788935.479507642
"485",1,7,44,7e+05,7,1,15,5,920424.726092249
"486",2,7,45,2e+05,7,1,9,2,262978.493169214
"487",2,7,48,460000,1,1,14,3,604850.534289192
